Votes,Rating,Title,Year,Decade
635139,8.6,Léon,1994,1990
264285,8.1,The Princess Bride,1987,1980
43090,N/K,"Paris, Texas (1984)",1984,1980
90434,8.3,Rashômon,1950,1950
427099,8.0,X-Men: Days of Future Past,2014,2010
415845,8.1,How to Train Your Dragon,2010,2010
527349,8.0,Guardians of the Galaxy,2014,2010
474068,8.4,Le fabuleux destin d'Amélie Poulain,2001,2000
529287,8.2,Die Hard,1988,1980
466111,8.0,Harry Potter and the Deathly Hallows: Part 2,2011,2010
26012,8.0,Kumonosu-jô,1957,1950
59377,8.0,Lagaan: Once Upon a Time in India,2001,2000
358305,8.6,La vita è bella,1997,1990
242353,8.6,It's a Wonderful Life,1946,1940
83941,8.0,Tenkû no shiro Rapyuta,1986,1980
192744,8.2,Chinatown,1974,1970
618914,8.4,WALL·E,2008,2000
151256,8.4,Das Boot,1981,1980
121599,8.1,Hachi: A Dog's Tale,2009,2000
262425,8.3,Mad Max: Fury Road,2015,2010
311070,8.4,Oldeuboi,2003,2000
98949,8.2,Det sjunde inseglet,1957,1950
585474,8.5,Raiders of the Lost Ark,1981,1980
57974,8.0,The Night of the Hunter,1955,1950
55861,8.2,Smultronstället,1957,1950
424957,8.1,Million Dollar Baby,2004,2000
117590,8.4,The Great Dictator,1940,1940
85012,8.1,Strangers on a Train,1951,1950
476501,8.6,Cidade de Deus,2002,2000
268905,8.4,Citizen Kane,1941,1940
69988:3,8.1,8½,1963,1960
1078416,8.7,Forrest Gump,1994,1990
31003,8.1,Le salaire de la peur,1953,1950
