mime_type_local,action,mime_type_google,default
application/x-vnd.oasis.opendocument.presentation,import,application/vnd.google-apps.presentation,NA
text/tab-separated-values,import,application/vnd.google-apps.spreadsheet,NA
image/jpeg,import,application/vnd.google-apps.document,NA
image/bmp,import,application/vnd.google-apps.document,NA
image/gif,import,application/vnd.google-apps.document,NA
application/vnd.ms-excel.sheet.macroenabled.12,import,application/vnd.google-apps.spreadsheet,NA
application/vnd.openxmlformats-officedocument.wordprocessingml.template,import,application/vnd.google-apps.document,NA
application/vnd.ms-powerpoint.presentation.macroenabled.12,import,application/vnd.google-apps.presentation,NA
application/vnd.ms-word.template.macroenabled.12,import,application/vnd.google-apps.document,NA
application/vnd.openxmlformats-officedocument.wordprocessingml.document,import,application/vnd.google-apps.document,NA
image/pjpeg,import,application/vnd.google-apps.document,NA
application/vnd.google-apps.script+text/plain,import,application/vnd.google-apps.script,NA
application/vnd.ms-excel,import,application/vnd.google-apps.spreadsheet,NA
application/vnd.sun.xml.writer,import,application/vnd.google-apps.document,NA
application/vnd.ms-word.document.macroenabled.12,import,application/vnd.google-apps.document,NA
application/vnd.ms-powerpoint.slideshow.macroenabled.12,import,application/vnd.google-apps.presentation,NA
text/rtf,import,application/vnd.google-apps.document,NA
text/plain,import,application/vnd.google-apps.document,NA
application/vnd.oasis.opendocument.spreadsheet,import,application/vnd.google-apps.spreadsheet,NA
application/x-vnd.oasis.opendocument.spreadsheet,import,application/vnd.google-apps.spreadsheet,NA
image/png,import,application/vnd.google-apps.document,NA
application/x-vnd.oasis.opendocument.text,import,application/vnd.google-apps.document,NA
application/msword,import,application/vnd.google-apps.document,NA
application/pdf,import,application/vnd.google-apps.document,NA
application/json,import,application/vnd.google-apps.script,NA
application/x-msmetafile,import,application/vnd.google-apps.drawing,NA
application/vnd.openxmlformats-officedocument.spreadsheetml.template,import,application/vnd.google-apps.spreadsheet,NA
application/vnd.ms-powerpoint,import,application/vnd.google-apps.presentation,NA
application/vnd.ms-excel.template.macroenabled.12,import,application/vnd.google-apps.spreadsheet,NA
image/x-bmp,import,application/vnd.google-apps.document,NA
application/rtf,import,application/vnd.google-apps.document,NA
application/vnd.openxmlformats-officedocument.presentationml.template,import,application/vnd.google-apps.presentation,NA
image/x-png,import,application/vnd.google-apps.document,NA
text/html,import,application/vnd.google-apps.document,NA
application/vnd.oasis.opendocument.text,import,application/vnd.google-apps.document,NA
application/vnd.openxmlformats-officedocument.presentationml.presentation,import,application/vnd.google-apps.presentation,NA
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,import,application/vnd.google-apps.spreadsheet,NA
application/vnd.google-apps.script+json,import,application/vnd.google-apps.script,NA
application/vnd.openxmlformats-officedocument.presentationml.slideshow,import,application/vnd.google-apps.presentation,NA
application/vnd.ms-powerpoint.template.macroenabled.12,import,application/vnd.google-apps.presentation,NA
text/csv,import,application/vnd.google-apps.spreadsheet,NA
application/vnd.oasis.opendocument.presentation,import,application/vnd.google-apps.presentation,NA
image/jpg,import,application/vnd.google-apps.document,NA
text/richtext,import,application/vnd.google-apps.document,NA
application/zip,export,application/vnd.google-apps.form,TRUE
application/rtf,export,application/vnd.google-apps.document,FALSE
application/vnd.oasis.opendocument.text,export,application/vnd.google-apps.document,FALSE
text/html,export,application/vnd.google-apps.document,FALSE
application/pdf,export,application/vnd.google-apps.document,FALSE
application/epub+zip,export,application/vnd.google-apps.document,FALSE
application/zip,export,application/vnd.google-apps.document,FALSE
application/vnd.openxmlformats-officedocument.wordprocessingml.document,export,application/vnd.google-apps.document,TRUE
text/plain,export,application/vnd.google-apps.document,FALSE
image/svg+xml,export,application/vnd.google-apps.drawing,FALSE
image/png,export,application/vnd.google-apps.drawing,TRUE
application/pdf,export,application/vnd.google-apps.drawing,FALSE
image/jpeg,export,application/vnd.google-apps.drawing,FALSE
application/x-vnd.oasis.opendocument.spreadsheet,export,application/vnd.google-apps.spreadsheet,FALSE
text/tab-separated-values,export,application/vnd.google-apps.spreadsheet,FALSE
application/pdf,export,application/vnd.google-apps.spreadsheet,FALSE
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,export,application/vnd.google-apps.spreadsheet,TRUE
text/csv,export,application/vnd.google-apps.spreadsheet,FALSE
application/zip,export,application/vnd.google-apps.spreadsheet,FALSE
application/vnd.oasis.opendocument.spreadsheet,export,application/vnd.google-apps.spreadsheet,FALSE
application/vnd.google-apps.script+json,export,application/vnd.google-apps.script,TRUE
application/vnd.oasis.opendocument.presentation,export,application/vnd.google-apps.presentation,FALSE
application/pdf,export,application/vnd.google-apps.presentation,FALSE
application/vnd.openxmlformats-officedocument.presentationml.presentation,export,application/vnd.google-apps.presentation,TRUE
text/plain,export,application/vnd.google-apps.presentation,FALSE
